prompt_text;option1;option2;option3;option4;option5;option6;correct;image_url
Угадайте страну по флагу;Словакия;Республика Корея;Мавритания;Кипр;Сейшельские острова;Нигерия;5;http://localhost:8000/tg/game/media/35df79c5-fa50-4aa8-9895-48d8cdb74797.png
Угадайте страну по флагу;Южный Судан;Сенегал;Тувалу;Чехия;Самоа;Тринидад и Тобаго;2;http://localhost:8000/tg/game/media/64e1e6b1-a716-4260-988d-46adf5953f33.png
Угадайте страну по флагу;Сент-Винсент и Гренадины;Швейцария;Нигерия;Мексика;Мальдивы;Кувейт;1;http://localhost:8000/tg/game/media/7425a5ad-9357-4062-bc1a-177cdb82550b.png
Угадайте страну по флагу;Федеративные Штаты Микронезии;Норвегия;Гана;Бельгия;Сент-Китс и Невис;Люксембург;5;http://localhost:8000/tg/game/media/c383bcd0-3652-4355-8280-2f2454af2ac4.png
Угадайте страну по флагу;Эквадор;Сент-Люсия;Восточный Тимор;Люксембург;Сан-Марино;Экваториальная Гвинея;2;http://localhost:8000/tg/game/media/1070abe3-0885-46ae-ac21-253d82dc4b80.png
Угадайте страну по флагу;Молдавия;Либерия;Королевство Эсватини;Турция;Маршалловы острова;Сербия;6;http://localhost:8000/tg/game/media/953f71a0-680b-42db-9147-099adef5bcbc.png
Угадайте страну по флагу;Сент-Винсент и Гренадины;Замбия;Либерия;Сингапур;Папуа — Новая Гвинея;Бурунди;4;http://localhost:8000/tg/game/media/fd4c5f92-696d-4c1d-8e3c-6139cbf403c6.png
Угадайте страну по флагу;Сирия;Сан-Марино;Ватикан;ЮАР;Лихтенштейн;Камерун;1;http://localhost:8000/tg/game/media/ab729758-10c5-4668-89fc-38a13354b5b3.png
Угадайте страну по флагу;Сомали;Кабо-Верде;Словакия;Антигуа и Барбуда;Филиппины;Тунис;3;http://localhost:8000/tg/game/media/b148cae3-2539-4221-a34e-82ffc85d8e88.png
Угадайте страну по флагу;Словения;Тунис;Гаити;Греция;Австрия;Саудовская Аравия;1;http://localhost:8000/tg/game/media/e6a214ab-f50d-4717-9c87-f94e6bc28fc4.png
Угадайте страну по флагу;Маврикий;Эритрея;Бразилия;Республика Корея;Соломоновы острова;Западная Сахара;5;http://localhost:8000/tg/game/media/034597b8-f8cd-4375-9cad-bfb5d8cc3b83.png
Угадайте страну по флагу;Чехия;Коста-Рика;Япония;Сомали;КНДР;Сейшельские острова;4;http://localhost:8000/tg/game/media/2cf4d981-2f8a-4eb0-9abe-d2ae150948ac.png
Угадайте страну по флагу;Эстония;Судан;США;Боливия;Узбекистан;Бангладеш;2;http://localhost:8000/tg/game/media/4ccb8ce1-164c-4e20-8d33-7f1fffe77766.png
Угадайте страну по флагу;Перу;Казахстан;Суринам;Эстония;Западная Сахара;Мексика;3;http://localhost:8000/tg/game/media/fd395baf-d81a-4afd-a056-30a92ee7a68e.png
Угадайте страну по флагу;США;Турция;Республика Конго;Сингапур;Украина;Острова Кука;1;http://localhost:8000/tg/game/media/7198b9e3-b99c-4365-9f52-c88ff53949d8.png
Угадайте страну по флагу;Замбия;Австрия;Сьерра-Леоне;Южный Судан;Кирибати;Доминика;3;http://localhost:8000/tg/game/media/69bff91e-16b8-42e4-ab9e-153ceb38fb30.png
Угадайте страну по флагу;Австрия;Гондурас;Эритрея;Таджикистан;Монголия;Палестина;4;http://localhost:8000/tg/game/media/27dfe139-a4cd-4ed6-9d29-a162df1d6c9e.png
Угадайте страну по флагу;Мьянма;Эквадор;Мали;Таиланд;Афганистан;Бенин;4;http://localhost:8000/tg/game/media/7fd76d50-c78a-4148-b89d-7a56b0c9fd83.png
Угадайте страну по флагу;Тайвань;Мальта;Мексика;Танзания;Сенегал;ЦАР;1;http://localhost:8000/tg/game/media/8267c1e8-3488-4d7e-a370-c6e5af70f785.png
Угадайте страну по флагу;Нидерланды;Суринам;Ливия;Танзания;Фиджи;Германия;4;http://localhost:8000/tg/game/media/50d2d9bb-8196-4c44-95cf-ce5c984f48e5.png
Угадайте страну по флагу;Мали;Сербия;Боливия;Мальдивы;Того;Республика Конго;5;http://localhost:8000/tg/game/media/9694ea43-bda1-4121-829e-88331e9575af.png
Угадайте страну по флагу;Ватикан;Болгария;Тонга;Таиланд;Парагвай;Республика Корея;3;http://localhost:8000/tg/game/media/34079a6d-e540-4bb8-a9ac-bcb027dc137b.png
Угадайте страну по флагу;Испания;Иордания;Гайана;Тринидад и Тобаго;Джибути;Бурунди;4;http://localhost:8000/tg/game/media/afa109eb-1390-4919-a22c-f75d9aa10e52.png
Угадайте страну по флагу;Гренада;Ямайка;Сьерра-Леоне;Палау;Тувалу;Никарагуа;5;http://localhost:8000/tg/game/media/6299a3d9-b55b-489a-848d-f680fdbc6b3c.png
Угадайте страну по флагу;Бельгия;Сьерра-Леоне;Колумбия;Гамбия;Тунис;Намибия;5;http://localhost:8000/tg/game/media/e0464672-bc0a-42fa-a0c7-778641c43224.png
Угадайте страну по флагу;Туркменистан;Бенин;Папуа — Новая Гвинея;Никарагуа;Либерия;КНДР;1;http://localhost:8000/tg/game/media/222e05e7-a460-443d-a3fb-4eefa467848e.png
Угадайте страну по флагу;Того;Болгария;Бразилия;Турция;Судан;Сирия;4;http://localhost:8000/tg/game/media/22e9591f-ca04-450e-a9ea-892dfd16ba74.png
Угадайте страну по флагу;Тонга;Уганда;Нигер;Сенегал;Дания;Косово;2;http://localhost:8000/tg/game/media/05cb5386-9aea-46c6-9089-abdfa975d660.png
Угадайте страну по флагу;Чад;Папуа — Новая Гвинея;Босния и Герцеговина;Бурунди;Лаос;Узбекистан;6;http://localhost:8000/tg/game/media/e7990f5b-ea39-4f61-946e-6382ca926e13.png
Угадайте страну по флагу;Намибия;Сомали;Республика Конго;Гватемала;Украина;Португалия;5;http://localhost:8000/tg/game/media/85189223-5c1f-4db2-a4cc-75ae592caa4e.png
Угадайте страну по флагу;Барбадос;Словакия;Кувейт;Япония;Узбекистан;Уругвай;6;http://localhost:8000/tg/game/media/d80b19dd-78ed-4606-ad9d-e6ac9a6c61a4.png
Угадайте страну по флагу;Мадагаскар;Сан-Марино;Канада;Узбекистан;Исландия;Федеративные Штаты Микронезии;6;http://localhost:8000/tg/game/media/fed37e1f-896a-4737-8b5c-2a45fb76eba7.png
Угадайте страну по флагу;КНДР;Сент-Люсия;Гаити;Тунис;Лесото;Фиджи;6;http://localhost:8000/tg/game/media/9fc5d141-5dcd-4401-996d-b8405ea956bb.png
Угадайте страну по флагу;Танзания;Филиппины;Маврикий;КНДР;Кот-д’Ивуар;Сан-Томе и Принсипи;2;http://localhost:8000/tg/game/media/739fea7c-d779-4b58-9e4d-709d1da52a94.png
Угадайте страну по флагу;Финляндия;Греция;Парагвай;КНДР;Алжир;Ливия;1;http://localhost:8000/tg/game/media/e0a0476e-cb71-4ed5-b749-5a5638f5cf4c.png
Угадайте страну по флагу;Кипр;Гана;Болгария;Габон;Франция;Буркина-Фасо;5;http://localhost:8000/tg/game/media/ecae0ff5-69e6-43c5-876a-478d231b4502.png
Угадайте страну по флагу;Сирия;Южный Судан;Восточный Тимор;Маврикий;Хорватия;Суринам;5;http://localhost:8000/tg/game/media/d7e419b8-3a56-4ce6-b2fd-691cebbcd686.png
Угадайте страну по флагу;Чехия;Литва;Багамские острова;Маршалловы острова;Намибия;ЦАР;6;http://localhost:8000/tg/game/media/9369d797-7baf-4fc0-91d6-8317e4ae28be.png
Угадайте страну по флагу;Республика Македония;Чад;Королевство Эсватини;Индонезия;Непал;Эритрея;2;http://localhost:8000/tg/game/media/74f729d3-423e-4f84-a79d-9852559ec9ed.png
Угадайте страну по флагу;Сенегал;Черногория;Узбекистан;Южный Судан;Никарагуа;Намибия;2;http://localhost:8000/tg/game/media/4db3cd1f-a2e2-42df-a372-f7d4c38f8c60.png
Угадайте страну по флагу;Габон;Чехия;Танзания;Словения;Исландия;Барбадос;2;http://localhost:8000/tg/game/media/42e96e24-e29f-4a1c-882e-96c2ed391b91.png
Угадайте страну по флагу;ЮАР;Канада;Чили;Босния и Герцеговина;Казахстан;Гвинея;3;http://localhost:8000/tg/game/media/c99054bf-31a9-4715-aa78-42f720fead42.png
Угадайте страну по флагу;Мексика;Нигер;Швейцария;Лесото;Андорра;Зимбабве;3;http://localhost:8000/tg/game/media/0f654319-482c-4c97-b14a-deabf719bf86.png
Угадайте страну по флагу;Антигуа и Барбуда;Коморские острова;Швеция;Люксембург;Израиль;Боливия;3;http://localhost:8000/tg/game/media/683ddd8b-5454-47cf-98d1-2fbd3429e3e7.png
Угадайте страну по флагу;Новая Зеландия;Катар;Филиппины;Эфиопия;Габон;Шри-Ланка;6;http://localhost:8000/tg/game/media/bd588730-c5ce-49ff-89b7-5b1285550020.png
Угадайте страну по флагу;Испания;Алжир;Боливия;Западная Сахара;Эквадор;Гамбия;5;http://localhost:8000/tg/game/media/6af4c709-7e3f-4004-b7d6-e7fabf9c3a53.png
Угадайте страну по флагу;Кирибати;Венгрия;Иордания;Экваториальная Гвинея;Ирак;Бангладеш;4;http://localhost:8000/tg/game/media/0b2d9806-5708-4371-84f4-a142c35b0c93.png
Угадайте страну по флагу;Алжир;Палестина;Россия;Сирия;Эритрея;Таджикистан;5;http://localhost:8000/tg/game/media/25bf70f4-d589-4b06-91fd-a1b5ac1e5ada.png
Угадайте страну по флагу;Королевство Эсватини;Австралия;Кения;Судан;Либерия;Монако;1;http://localhost:8000/tg/game/media/22a8d390-677d-41af-be78-b6c104dbd0aa.png
Угадайте страну по флагу;Румыния;Бельгия;Ливия;Республика Конго;Эстония;Папуа — Новая Гвинея;5;http://localhost:8000/tg/game/media/88610643-84dc-4ff5-b7ae-28a45a76d779.png
Угадайте страну по флагу;Люксембург;Таиланд;Исландия;Малави;Багамские острова;Эфиопия;6;http://localhost:8000/tg/game/media/933842e7-7b1c-46fc-9d08-ed2049ce934d.png
Угадайте страну по флагу;ЮАР;Сьерра-Леоне;Ирак;Швейцария;Тувалу;Бурунди;1;http://localhost:8000/tg/game/media/4df74632-5422-4c2a-a293-3dde297c7962.png
Угадайте страну по флагу;Уругвай;Танзания;Румыния;Кувейт;Южный Судан;Гондурас;5;http://localhost:8000/tg/game/media/5f709fa5-3d5f-4b8c-a5a1-87833b8150ef.png
Угадайте страну по флагу;Нидерланды;Армения;Кипр;Ямайка;Чад;Япония;4;http://localhost:8000/tg/game/media/e166b4ea-448f-4416-96bf-ded7c8ba9282.png
Угадайте страну по флагу;Норвегия;Япония;Румыния;Перу;КНДР;Мали;2;http://localhost:8000/tg/game/media/27e1ec51-12f4-4739-bf3d-04038ddb5c28.png
